Removed Pin From Net: NetName=MISO Pin=ICSP-1
Removed Pin From Net: NetName=SCK Pin=ICSP-3
Removed Pin From Net: NetName=MOSI Pin=ICSP-4
Removed Pin From Net: NetName=GND Pin=ICSP-6
Removed Pin From Net: NetName=GND Pin=IOH-7
Change Component Designator: OldDesignator=AD NewDesignator=AD1
Change Component Designator: OldDesignator=ICSP NewDesignator=ICSP1
Change Component Designator: OldDesignator=IOH NewDesignator=IOH1
Change Component Designator: OldDesignator=IOL NewDesignator=IOL1
Change Component Designator: OldDesignator=POWER NewDesignator=POWER1
Change component parameters: Designator = "IOH" ("IOH"); Footprint = "Header 10x1 8.5mm"; UniqueID = "\YUIEELQM" ("\YUIEELQM")
Change component parameters: Designator = "POWER" ("POWER"); Footprint = "Header 8x1 8.5mm"; UniqueID = "\XQKUSQIT" ("\XQKUSQIT")
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 4"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "SAM1198-08-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "2698939"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = "2698940"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 4"; Value = "2698925"; VariantName = "[No Variations]"
Change component parameters: Designator = "ICSP" ("ICSP"); Footprint = "ICSP"; UniqueID = "\OOKHNFPF" ("\OOKHNFPF")
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 4"; Value = "Arrow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 5"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2699117"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "2699116"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = "SAM1185-06-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 4"; Value = "2699091"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 5"; Value = "SAM1196-06-ND"; VariantName = "[No Variations]"
Added Component: Designator=C1(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C2(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C3(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C4(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C5(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C6(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C7(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C8(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C9(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C10(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C11(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C12(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C13(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C14(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C15(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C16(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C17(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C18(0603)
Add component (AddParameter): Name = "GFUPartNo"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "C1608C0G1H361J"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "445-5067-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C19(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C20(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C21(PNSC-FP-V-C_V)
Add component (AddParameter): Name = "Capacitance"; Value = "22µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "Ø5x5.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1184.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "03/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "0.36O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifetime@Temperature"; Value = "2000Hrs@105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temp Range"; Value = "-55to+105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temp-Max"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Electrolytic Aluminum Capacitor, Body 5.3 x 5.3 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "FP-V-C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package URL"; Value = "http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/DME0000COL48.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "240mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "FP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Can"; VariantName = "[No Variations]"
Added Component: Designator=C22(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C23(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C24(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C25(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=C26(0805)
Add component (AddParameter): Name = "GFUPartNo"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CC0805KRX7R9BB152"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-1128-1-ND"; VariantName = "[No Variations]"
Added Component: Designator=D1(1206_A)
Add component (AddParameter): Name = "Color"; Value = "Red"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.we-online.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://katalog.we-online.com/led/datasheet/150120RS75000.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Wuerth Elektronik"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "1206_A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "150120RS75000"; VariantName = "[No Variations]"
Added Component: Designator=D2(1206_A)
Add component (AddParameter): Name = "Color"; Value = "Yellow"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.we-online.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://katalog.we-online.com/led/datasheet/150120YS75000.pdf"; VariantName = "[No Variations]"
